escenario_actual,problema_detectado,evidencia_numerica,cambio_recomendado,efecto_esperado,prioridad,decision,scenario_base,tp,family,benchmark_split
S6_FamilyGroups_SmallPersistent__TP08_HubTarget,EXTREME_OVERHEAD,delivery=0.0134; overhead=178.8462; drops=0; encounters=4047; std_base=0.0249,Reducir Events*.size o ampliar intervalo; etiquetar split=stress si TP04/06/10,overhead_ratio < 100 en benchmark main,P0,stress,S6_FamilyGroups_SmallPersistent,TP08,06_social,main
T10_HighRateLowSpeed_Congestion__TP02_LowLoad,EXTREME_OVERHEAD,delivery=0.0105; overhead=124; drops=0; encounters=39; std_base=0.013,Reducir Events*.size o ampliar intervalo; etiquetar split=stress si TP04/06/10,overhead_ratio < 100 en benchmark main,P0,stress,T10_HighRateLowSpeed_Congestion,TP02,07_traffic,stress
T12_TTL_Infinite_Buffer200M__TP02_LowLoad,EXTREME_OVERHEAD,delivery=0.0105; overhead=143; drops=0; encounters=35; std_base=0.0232,Reducir Events*.size o ampliar intervalo; etiquetar split=stress si TP04/06/10,overhead_ratio < 100 en benchmark main,P0,stress,T12_TTL_Infinite_Buffer200M,TP02,07_traffic,stress
T8_BurstTraffic_TimeWindows__TP02_LowLoad,EXTREME_OVERHEAD,delivery=0.0103; overhead=121; drops=0; encounters=45; std_base=0.02,Reducir Events*.size o ampliar intervalo; etiquetar split=stress si TP04/06/10,overhead_ratio < 100 en benchmark main,P0,stress,T8_BurstTraffic_TimeWindows,TP02,07_traffic,stress
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,EXTREME_DROPS,delivery=0.1955; overhead=299.7429; drops=53.3464; encounters=1985; cov_world=0.0872; cov_access=1; std_base=0.2127,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U1_CBD_Commuting_HelsinkiMedium,TP04,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,EXTREME_DROPS,delivery=0.6144; overhead=177.2198; drops=64.101; encounters=2241; cov_world=0.0892; cov_access=1; std_base=0.2127,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U1_CBD_Commuting_HelsinkiMedium,TP06,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,EXTREME_DROPS,delivery=0.3258; overhead=421.9684; drops=112.8124; encounters=2241; cov_world=0.0892; cov_access=1; std_base=0.2127,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U1_CBD_Commuting_HelsinkiMedium,TP08,01_urban,main
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,EXTREME_DROPS,delivery=0.3044; overhead=245.0447; drops=60.0493; encounters=2029; cov_world=0.0796; cov_access=1; std_base=0.2127,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U1_CBD_Commuting_HelsinkiMedium,TP09,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup,EXTREME_DROPS,delivery=0.5358; overhead=231.2939; drops=79.865; encounters=2013; cov_world=0.0924; cov_access=1; std_base=0.2127,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U1_CBD_Commuting_HelsinkiMedium,TP12,01_urban,control
U3_MicroMobility_HelsinkiMedium__TP01_Baseline,EXTREME_DROPS,delivery=0.1019; overhead=3960.3265; drops=399.341; encounters=7058; cov_world=0.0932; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP01,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP02_LowLoad,EXTREME_DROPS,delivery=0.3158; overhead=4303.1; drops=1320.4842; encounters=7209; cov_world=0.0932; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP02,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP03_ManySmall,EXTREME_DROPS,delivery=0.2817; overhead=1035.8698; drops=274.702; encounters=7212; cov_world=0.0972; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP03,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP04_FewLarge,EXTREME_DROPS,delivery=0.0166; overhead=6861.3333; drops=113.8232; encounters=7464; cov_world=0.0912; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP04,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP06_OneToMany,EXTREME_DROPS,delivery=0.4979; overhead=901.2112; drops=444.3062; encounters=7186; cov_world=0.0908; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP06,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP07_BurstWindow,EXTREME_DROPS,delivery=0.1766; overhead=3228; drops=564.7663; encounters=7224; cov_world=0.0896; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP07,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP08_HubTarget,EXTREME_DROPS,delivery=0.0608; overhead=5016.1695; drops=303.5371; encounters=7186; cov_world=0.0908; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP08,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP09_Bimodal,EXTREME_DROPS,delivery=0.1557; overhead=2550.0444; drops=386.9412; encounters=7111; cov_world=0.0892; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP09,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne,EXTREME_DROPS,delivery=0.333; overhead=449.8204; drops=145.899; encounters=7186; cov_world=0.0908; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP11,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup,EXTREME_DROPS,delivery=0.4949; overhead=1112.5909; drops=546.045; encounters=7175; cov_world=0.092; cov_access=1; std_base=0.1772,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U3_MicroMobility_HelsinkiMedium,TP12,01_urban,control
U7_HighTimeVariance_HelsinkiMedium__TP06_OneToMany,EXTREME_DROPS,delivery=0.5969; overhead=218.4473; drops=85.1742; encounters=2446; cov_world=0.076; cov_access=1; std_base=0.2156,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,U7_HighTimeVariance_HelsinkiMedium,TP06,01_urban,stress
C1_Campus_ClassChange__TP04_FewLarge,EXTREME_DROPS,delivery=0.5028; overhead=311.2198; drops=151.5028; encounters=42; cov_world=0.9936; std_base=0.2874,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C1_Campus_ClassChange,TP04,02_campus,stress
C1_Campus_ClassChange__TP08_HubTarget,EXTREME_DROPS,delivery=0.868; overhead=324.5891; drops=252.4515; encounters=4247; cov_world=0.99; std_base=0.2874,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C1_Campus_ClassChange,TP08,02_campus,main
C1_Campus_ClassChange__TP09_Bimodal,EXTREME_DROPS,delivery=0.6766; overhead=358.8779; drops=230.3269; encounters=4219; cov_world=0.9924; std_base=0.2874,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C1_Campus_ClassChange,TP09,02_campus,stress
C2_ExamDay_LongStays__TP04_FewLarge,EXTREME_DROPS,delivery=0.3425; overhead=191.4355; drops=61.3149; encounters=842; std_base=0.3141,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C2_ExamDay_LongStays,TP04,02_campus,stress
C2_ExamDay_LongStays__TP08_HubTarget,EXTREME_DROPS,delivery=0.699; overhead=209.8142; drops=124.4258; encounters=83; std_base=0.3141,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C2_ExamDay_LongStays,TP08,02_campus,main
C2_ExamDay_LongStays__TP09_Bimodal,EXTREME_DROPS,delivery=0.5751; overhead=232.1021; drops=118.3005; encounters=842; std_base=0.3141,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C2_ExamDay_LongStays,TP09,02_campus,stress
C3_Hackathon_24h__TP01_Baseline,EXTREME_DROPS,delivery=0.7012; overhead=175.0888; drops=104.4004; encounters=55; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP01,02_campus,main
C3_Hackathon_24h__TP06_OneToMany,EXTREME_DROPS,delivery=0.8271; overhead=112.9241; drops=77.4066; encounters=523; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP06,02_campus,stress
C3_Hackathon_24h__TP07_BurstWindow,EXTREME_DROPS,delivery=0.9323; overhead=270.9393; drops=227.8301; encounters=55; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP07,02_campus,main
C3_Hackathon_24h__TP08_HubTarget,EXTREME_DROPS,delivery=0.5028; overhead=165.0921; drops=74.7154; encounters=523; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP08,02_campus,main
C3_Hackathon_24h__TP09_Bimodal,EXTREME_DROPS,delivery=0.4987; overhead=122.5806; drops=54.4045; encounters=55; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP09,02_campus,stress
C3_Hackathon_24h__TP11_ManyToOne,EXTREME_DROPS,delivery=0.5847; overhead=136.5343; drops=64.1945; encounters=523; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP11,02_campus,stress
C3_Hackathon_24h__TP12_GroupToGroup,EXTREME_DROPS,delivery=0.6472; overhead=178.3223; drops=98.0409; encounters=55; std_base=0.3054,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C3_Hackathon_24h,TP12,02_campus,control
C4_Stadium_IngressEgress__TP04_FewLarge,EXTREME_DROPS,delivery=0.6136; overhead=170.3333; drops=76.7045; encounters=932; std_base=0.2514,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C4_Stadium_IngressEgress,TP04,02_campus,stress
C6_EmergencyDrill_Evacuation__TP10_Storm,EXTREME_DROPS,delivery=0.4449; overhead=796.886; drops=343.4312; encounters=357; std_base=0.0613,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,C6_EmergencyDrill_Evacuation,TP10,02_campus,stress
V2_TaxiHigh_HelsinkiMedium__TP04_FewLarge,EXTREME_DROPS,delivery=0.65; overhead=382.1709; drops=245.0722; encounters=19432; std_base=0.1958,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V2_TaxiHigh_HelsinkiMedium,TP04,03_vehicles,stress
V2_TaxiHigh_HelsinkiMedium__TP08_HubTarget,EXTREME_DROPS,delivery=0.9237; overhead=400.3125; drops=357.6845; encounters=19198; std_base=0.1958,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V2_TaxiHigh_HelsinkiMedium,TP08,03_vehicles,main
V2_TaxiHigh_HelsinkiMedium__TP09_Bimodal,EXTREME_DROPS,delivery=0.9069; overhead=485.5323; drops=427.75; encounters=19239; std_base=0.1958,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V2_TaxiHigh_HelsinkiMedium,TP09,03_vehicles,stress
V2_TaxiHigh_HelsinkiMedium__TP10_Storm,EXTREME_DROPS,delivery=0.8389; overhead=63.2408; drops=53.3979; encounters=20188; std_base=0.1958,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V2_TaxiHigh_HelsinkiMedium,TP10,03_vehicles,stress
V4_CarOwnership_0_HelsinkiMedium__TP04_FewLarge,EXTREME_DROPS,delivery=0.2011; overhead=469.4444; drops=89.3743; encounters=3243; std_base=0.2088,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V4_CarOwnership_0_HelsinkiMedium,TP04,03_vehicles,stress
V4_CarOwnership_0_HelsinkiMedium__TP06_OneToMany,EXTREME_DROPS,delivery=0.5588; overhead=296.7159; drops=125.6464; encounters=3204; std_base=0.2088,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V4_CarOwnership_0_HelsinkiMedium,TP06,03_vehicles,stress
V4_CarOwnership_0_HelsinkiMedium__TP08_HubTarget,EXTREME_DROPS,delivery=0.2711; overhead=548.5285; drops=127.0485; encounters=3204; std_base=0.2088,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V4_CarOwnership_0_HelsinkiMedium,TP08,03_vehicles,main
V4_CarOwnership_0_HelsinkiMedium__TP09_Bimodal,EXTREME_DROPS,delivery=0.2857; overhead=886.119; drops=238.4507; encounters=32; std_base=0.2088,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V4_CarOwnership_0_HelsinkiMedium,TP09,03_vehicles,stress
V4_CarOwnership_0_HelsinkiMedium__TP12_GroupToGroup,EXTREME_DROPS,delivery=0.6585; overhead=444.5683; drops=246.3027; encounters=3247; std_base=0.2088,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,V4_CarOwnership_0_HelsinkiMedium,TP12,03_vehicles,control
R9_ExtremeRange_200m__TP04_FewLarge,EXTREME_DROPS,delivery=0.3017; overhead=190.7963; drops=54.2179; encounters=594; std_base=0.3224,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,R9_ExtremeRange_200m,TP04,04_rural,stress
R9_ExtremeRange_200m__TP08_HubTarget,EXTREME_DROPS,delivery=0.7072; overhead=187.7259; drops=113.5567; encounters=594; std_base=0.3224,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,R9_ExtremeRange_200m,TP08,04_rural,main
R9_ExtremeRange_200m__TP09_Bimodal,EXTREME_DROPS,delivery=0.6272; overhead=217.3917; drops=120.6829; encounters=594; std_base=0.3224,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,R9_ExtremeRange_200m,TP09,04_rural,stress
D1_ShelterHotspots_Clusters__TP04_FewLarge,EXTREME_DROPS,delivery=0.2011; overhead=2024.3333; drops=399.8883; encounters=12407; std_base=0.1317,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D1_ShelterHotspots_Clusters,TP04,05_disaster,stress
D1_ShelterHotspots_Clusters__TP06_OneToMany,EXTREME_DROPS,delivery=0.4433; overhead=228.2558; drops=69.9361; encounters=12319; std_base=0.1317,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D1_ShelterHotspots_Clusters,TP06,05_disaster,stress
D1_ShelterHotspots_Clusters__TP09_Bimodal,EXTREME_DROPS,delivery=0.2801; overhead=1684.7178; drops=456.4966; encounters=12244; std_base=0.1317,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D1_ShelterHotspots_Clusters,TP09,05_disaster,stress
D1_ShelterHotspots_Clusters__TP10_Storm,EXTREME_DROPS,delivery=0.3034; overhead=244.6931; drops=73.6163; encounters=12169; std_base=0.1317,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D1_ShelterHotspots_Clusters,TP10,05_disaster,stress
D2_PartitionedCity_MuleBridge__TP04_FewLarge,EXTREME_DROPS,delivery=0.2873; overhead=253.5769; drops=66.6354; encounters=1649; std_base=0.2065,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D2_PartitionedCity_MuleBridge,TP04,05_disaster,stress
D2_PartitionedCity_MuleBridge__TP09_Bimodal,EXTREME_DROPS,delivery=0.3333; overhead=271.8918; drops=78.4347; encounters=1737; std_base=0.2065,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D2_PartitionedCity_MuleBridge,TP09,05_disaster,stress
D8_InfrastructureReturns_BackboneLinks__TP04_FewLarge,EXTREME_DROPS,delivery=0.2961; overhead=540.8113; drops=152.3575; encounters=3695; std_base=0.1759,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D8_InfrastructureReturns_BackboneLinks,TP04,05_disaster,stress
D8_InfrastructureReturns_BackboneLinks__TP09_Bimodal,EXTREME_DROPS,delivery=0.3677; overhead=494.986; drops=167.8969; encounters=3683; std_base=0.1759,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,D8_InfrastructureReturns_BackboneLinks,TP09,05_disaster,stress
S1_StrongCommunities_SeparateClusters__TP04_FewLarge,EXTREME_DROPS,delivery=0.15; overhead=27734.4074; drops=4150.5722; encounters=8058; std_base=0.0871,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,S1_StrongCommunities_SeparateClusters,TP04,06_social,stress
S1_StrongCommunities_SeparateClusters__TP09_Bimodal,EXTREME_DROPS,delivery=0.216; overhead=5784.4803; drops=1230.352; encounters=7878; std_base=0.0871,Reducir carga (size/rate) o mover a split stress,drop_ratio < 50 en main,P0,stress,S1_StrongCommunities_SeparateClusters,TP09,06_social,stress
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,MAP_UNDERUSED,delivery=0.1955; overhead=299.7429; drops=53.3464; encounters=1985; cov_world=0.0872; cov_access=1; std_base=0.2127,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U1_CBD_Commuting_HelsinkiMedium,TP04,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,MAP_UNDERUSED,delivery=0.6144; overhead=177.2198; drops=64.101; encounters=2241; cov_world=0.0892; cov_access=1; std_base=0.2127,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U1_CBD_Commuting_HelsinkiMedium,TP06,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,MAP_UNDERUSED,delivery=0.3258; overhead=421.9684; drops=112.8124; encounters=2241; cov_world=0.0892; cov_access=1; std_base=0.2127,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U1_CBD_Commuting_HelsinkiMedium,TP08,01_urban,main
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,MAP_UNDERUSED,delivery=0.3044; overhead=245.0447; drops=60.0493; encounters=2029; cov_world=0.0796; cov_access=1; std_base=0.2127,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U1_CBD_Commuting_HelsinkiMedium,TP09,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,MAP_UNDERUSED,delivery=0.0599; overhead=113.4743; drops=7.647; encounters=2169; cov_world=0.078; cov_access=1; std_base=0.2127,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U1_CBD_Commuting_HelsinkiMedium,TP10,01_urban,stress
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup,MAP_UNDERUSED,delivery=0.5358; overhead=231.2939; drops=79.865; encounters=2013; cov_world=0.0924; cov_access=1; std_base=0.2127,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U1_CBD_Commuting_HelsinkiMedium,TP12,01_urban,control
U2_SparseSuburb_HelsinkiMedium__TP08_HubTarget,MAP_UNDERUSED,delivery=0.1443; overhead=107.8286; drops=6.3227; encounters=495; cov_world=0.034; cov_access=1; std_base=0.1718,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U2_SparseSuburb_HelsinkiMedium,TP08,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP01_Baseline,MAP_UNDERUSED,delivery=0.1019; overhead=3960.3265; drops=399.341; encounters=7058; cov_world=0.0932; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP01,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP02_LowLoad,MAP_UNDERUSED,delivery=0.3158; overhead=4303.1; drops=1320.4842; encounters=7209; cov_world=0.0932; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP02,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP03_ManySmall,MAP_UNDERUSED,delivery=0.2817; overhead=1035.8698; drops=274.702; encounters=7212; cov_world=0.0972; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP03,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP04_FewLarge,MAP_UNDERUSED,delivery=0.0166; overhead=6861.3333; drops=113.8232; encounters=7464; cov_world=0.0912; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP04,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP06_OneToMany,MAP_UNDERUSED,delivery=0.4979; overhead=901.2112; drops=444.3062; encounters=7186; cov_world=0.0908; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP06,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP07_BurstWindow,MAP_UNDERUSED,delivery=0.1766; overhead=3228; drops=564.7663; encounters=7224; cov_world=0.0896; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP07,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP08_HubTarget,MAP_UNDERUSED,delivery=0.0608; overhead=5016.1695; drops=303.5371; encounters=7186; cov_world=0.0908; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP08,01_urban,main
U3_MicroMobility_HelsinkiMedium__TP09_Bimodal,MAP_UNDERUSED,delivery=0.1557; overhead=2550.0444; drops=386.9412; encounters=7111; cov_world=0.0892; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP09,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP10_Storm,MAP_UNDERUSED,delivery=0.0172; overhead=1478.3585; drops=26.2988; encounters=7177; cov_world=0.0892; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP10,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne,MAP_UNDERUSED,delivery=0.333; overhead=449.8204; drops=145.899; encounters=7186; cov_world=0.0908; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP11,01_urban,stress
U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup,MAP_UNDERUSED,delivery=0.4949; overhead=1112.5909; drops=546.045; encounters=7175; cov_world=0.092; cov_access=1; std_base=0.1772,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U3_MicroMobility_HelsinkiMedium,TP12,01_urban,control
U4_CongestionHotspot_HelsinkiMedium__TP04_FewLarge,MAP_UNDERUSED,delivery=0.1397; overhead=358.56; drops=45.8045; encounters=1254; cov_world=0.08; cov_access=1; std_base=0.1797,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U4_CongestionHotspot_HelsinkiMedium,TP04,01_urban,stress
U4_CongestionHotspot_HelsinkiMedium__TP05_CriticalTTL,MAP_UNDERUSED,delivery=0; overhead=na; drops=1.3435; encounters=1258; cov_world=0.0736; cov_access=1; std_base=0.1797,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U4_CongestionHotspot_HelsinkiMedium,TP05,01_urban,stress
U4_CongestionHotspot_HelsinkiMedium__TP06_OneToMany,MAP_UNDERUSED,delivery=0.4598; overhead=141.5987; drops=31.6402; encounters=1226; cov_world=0.0812; cov_access=1; std_base=0.1797,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U4_CongestionHotspot_HelsinkiMedium,TP06,01_urban,stress
U4_CongestionHotspot_HelsinkiMedium__TP08_HubTarget,MAP_UNDERUSED,delivery=0.2701; overhead=194.271; drops=36.8845; encounters=1226; cov_world=0.0812; cov_access=1; std_base=0.1797,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U4_CongestionHotspot_HelsinkiMedium,TP08,01_urban,main
U4_CongestionHotspot_HelsinkiMedium__TP09_Bimodal,MAP_UNDERUSED,delivery=0.1888; overhead=223.7838; drops=32.5629; encounters=1258; cov_world=0.0736; cov_access=1; std_base=0.1797,Recortar MovementModel.worldSize al bbox sim-alineado de roads.wkt (+5–10% margen),coverage_world_ratio >= 0.12; quitar MAP_UNDERUSED,P0,modificar,U4_CongestionHotspot_HelsinkiMedium,TP09,01_urban,stress
